,지역,가맹점명,분류,주소,Latitude,Longitude
15313,전남,서원문고,도서,전라남도 순천시 해룡면 신대3길 5-54,34.9260192,127.5523974
15512,전남,서원문고,도서,전라남도 순천시 해룡면 신대3길 5-54,34.9260192,127.5523974
3631,전남,여수크리스찬백화점,도서,전남 여수시 여서1로 88-1 (여서동),34.7538094,127.7068829
12042,대구,주식회사 코리아항공여행사,여행사,대구 달성군 현풍중앙로 10길 12,35.6938285,128.4464456
14757,경북,티막스토어 포항점(워터스포츠),체육용품,경북 포항시 남구 희망대로 810 종합운동장내 포항실내수영장 1층,36.0081063,129.3610507
21437,인천,주식회사 차렌터카,교통수단,"인천광역시 연수구  먼우금로 218 연수푸르지오3단지 상가 301, 302호",37.4166023,126.6776931
19831,서울,피아노챔버,음악,서울특별시 관악구  남부순환로240길 40-12 galleryhouse 갤러리하우스 예 1층,37.4763572,126.9611633
20877,경기,풀잎문화센터 진건지부,문화체험,경기도 남양주시 진건읍 진건오남로105번길 16 세아아파트 세아상가 2층 202호,37.6606928,127.1770309
14083,경기,수원화성 장안문,관광지,경기도 수원시 팔달구 장안동  1-1,37.2884857,127.0139287
127,충남,둘레표구사,미술,충남 논산시 강경읍 남교리81,36.1593456,127.0190873
17634,전남,평화해운㈜ 당목지점,교통수단,전남 완도군 약산면 당목길 144,34.3777681,126.9466569
7707,서울,키즈쿠아,체육시설,서울 광진구 아차산로 499 광장동청구아파트 상가 지하1층 키즈쿠아 광장점,37.5424859,127.0962615
5265,경기,도농동주민자치센타,문화체험,경기도 남양주시  다산중앙로 7,37.6191011,127.1576713
10777,울산,면학서림,도서,울산 남구 문수로327번길 3  (옥동),35.5356783,129.2891197
7554,경북,영미사진관,미술,경북 경산시 자인면 일연로 64-1,35.819041,128.8230045
3581,제주,빨강궁전,숙박,제주 제주시 애월읍 고내봉길 42-9,33.4593876,126.335282
13376,제주,주식회사 꿈키,문화체험,제주 서귀포시 동홍서로 112번길 1,33.25842,126.5707806
2847,서울,진스튜디오,미술,서울 성동구 금호동1가125-2,37.5548631,127.020174
7533,경북,예지서림,도서,경북 울진군 후포면 후포로 39-2,36.6791789,129.44585
2122,대구,월드문고,도서,대구 수성구 달구벌대로3224 b102,35.8390495,128.7089632
11064,강원,빨간머리앤,숙박,강원 평창군 봉평면 면온리 697-1,37.5752652,128.3539816
5314,경기,캐슬모텔,숙박,경기 동두천시 생연동 어수로106번길 26,37.9009733,127.0539517
11496,경남,월드볼링센타,체육시설,경남 창원시 마산합포구 해안대로 11,35.1806362,128.560254
15191,강원,켄싱턴리조트 설악비치,숙박,강원 고성군 토성면 동해대로 4800,38.2432185,128.5723665
4077,충북,주식회사인터투어,숙박,충북 단양군 단양읍  삼봉로31,36.9820869,128.3485245
19240,경기,장안청소년문화의집(수원시청소년재단),문화체험,경기 수원시 팔달구 권광로 293,37.2741231,127.0348936
1531,경북,마우나오션리조트,숙박,경북 경주시 양남면 동남로 982 (신대리),35.6908124,129.3928162
15568,제주,하얀산호펜션,숙박,제주 제주시 우도면 우도해안길 144,33.4941796,126.9452751
6388,전남,칠성종합서적,도서,전남 광양시 광양읍 호북길 5,34.9795121,127.5838863
11144,서울,한양스튜디오,미술,서울 서대문구 홍은동 9-178,37.5984514,126.9491301
21133,제주,뽀로로앤타요 테마파크 제주,관광지,제주특별자치도 서귀포시 안덕면 병악로 269,33.2968281,126.3723948
22652,서울,한길서점,도서,서울 서대문구 독립문로 56 감리교신학대학 구내,37.5674793,126.9619615
11720,제주,OK승마장,체육시설,제주 서귀포시 표선면 번영로2595,33.4027906,126.7831873
10656,전남,한빛서점,도서,전남 여수시 무선로 59 (선원동),34.7662996,127.6558956
3050,서울,까치사진관,미술,서울 동대문구 답십리로 308 흥국상가1층5호,37.5718226,127.0746768
18105,서울,시립서울청소년센터,문화체험,서울특별시 중구  을지로11길 23 청소년회관 시립서울청소년센터,37.5674238,126.9905238
14675,전남,CGV 순천,영상,전라남도 순천시  장명로 22,34.9507475,127.4863822
9004,서울,동원,체육시설,서울 서초구 강남대로34길 32 지하1층,37.4833215,127.0377778
15646,전남,드림오피스(옥암점),도서,전라남도 목포시 옥암동 955,34.8094785,126.4278601
4181,경기,다농서점,도서,경기 안산시 상록구 월피동 445,37.3283199,126.8442318
7165,경북,칠곡관광여행사(주),여행사,경북 칠곡군 북삼읍 인평중앙로 28,36.0619167,128.3439356
7824,서울,뉴청룡볼링장,체육시설,서울 용산구 갈월동 98-38 지하1층,37.5412057,126.9725428
