,번호,생태통로명,주소,도로명,도로번호,차선_수,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,관리기관,생태통로유형,설치기관,설치년도
388,1408,남해선 79.20k,경상남도 진주시 문산읍 상문리,,(고속국도 10호선),왕복8차선,35,10.0,53.01,128,11.0,47.10,한국도로공사,터널형,한국도로공사,201112
389,1409,남해선 86.17k,경상남도 진주시 지수면 금곡리,,(고속국도 10호선),왕복8차선,35,12.0,32.68,128,15.0,33.55,한국도로공사,터널형,한국도로공사,201112
390,1410,남해선 87.10k,경상남도 진주시 지수면 금곡리,,(고속국도 10호선),왕복8차선,35,12.0,48.08,128,15.0,46.46,한국도로공사,터널형,한국도로공사,201112
391,1411,남해선 93.04k,경상남도 함안군 군북면 박곡리,,(고속국도 10호선),왕복8차선,35,15.0,53.00,128,16.0,44.65,한국도로공사,터널형,한국도로공사,201112
392,1412,남해선 93.30k,경상남도 함안군 군북면 박곡리,,(고속국도 10호선),왕복8차선,35,16.0,10.26,128,16.0,53.36,한국도로공사,터널형,한국도로공사,201112
393,1413,영암순천선 12.65k,전라남도 영암군 학산면 상월리,,(고속국도 10호선),왕복왕복4차선차선,34,42.0,49.23,126,38.0,11.81,한국도로공사,터널형,한국도로공사,201212
394,1414,영암순천선 12.94k,전라남도 영암군 학산면 상월리,,(고속국도 10호선),왕복왕복4차선차선,34,42.0,49.23,126,38.0,11.81,한국도로공사,터널형,한국도로공사,2012.12.
395,1415,영암순천선 66.69k,전라남도 보성군 겸백면 남양리,,(고속국도 10호선),왕복4차선,34,48.0,27.39,127,9.0,28.58,한국도로공사,터널형,한국도로공사,201212
396,1416,하늘공원 진입로_2,울산광역시 울주군 삼동면 조일리,,소로 1-3 호선,왕복2차선,35,28.0,39,129,7.0,57,울산광역시 울주군,육교형,울산광역시,2012
397,1417,용두생태터널,충청남도 아산시 탕정면 용두리 산22(아산시 충무로 72번길 13),,13,왕복6차선,36,49.0,1.96,127,2.0,55.18,예산국토관리사무소,육교형,대전지방국토관리청,2015.04.01.
398,1419,신양생태통로,충청남도 예산군 신양면 대덕리 370-1,,32호,왕복4차선,37,16.0,80.00,127,24.0,39.00,충청남도 종합건설사업소 홍성지소,육교형,대전지방국토관리청,20051201
399,1420,평택제천선 84.20k,충청북도 충주시 신니면 화석리,,고속국도 제40호선,왕복4차선,37,1.0,54.4,127,43.0,45.1,한국도로공사,터널형,한국도로공사,201312
400,1421,평택제천선 84.47k,충청북도 충주시 노은면 문성리,,고속국도 제40호선,왕복4차선,37,2.0,1.4,127,43.0,55.2,한국도로공사,터널형,한국도로공사,201312
401,1422,현암생태통로,경기도 여주시 현암동 640-11,,시도 10호선,왕복4차선,37,19.0,22,127,37.0,50,경기도 여주시,육교형,경기도 여주시,200412
402,1426,토월,경상남도 창원시 성산구 토월동 산 11-2,,25호선,왕복4차선,35,14.0,1.45,128,42.0,17.51,진영국토관리사무소,육교형,경상남도 창원시,20140119
403,1427,중남통로,경상남도 함양군 서하면 송계리 산146-2번지,,26호,왕복1차선,35,40.0,29.00,128,10.0,29.00,진주국토관리사무소,터널형,진주국토관리사무소,20150301
404,1428,생태통로(대대터널:개착식),강원도 고성군 거진읍 송죽리,,7,왕복4차선,38,23.0,57.80,128,27.0,51.25,강릉국토관리사무소,육교형,원주지방국토관리청,2014
405,1429,무안광주선 37.48k,광주광역시 광산구 지죽동(무안광주선 37.48k),,37.48k,왕복4차선,35,8.0,28.00,126,44.0,55.00,한국도로공사,육교형,한국도로공사,2008
406,1430,무안광주선 24.90k,전라남도 나주시 문평면 대도리(무안광주선 24.90k),,24.90k,왕복4차선,35,4.0,46.09,126,38.0,22.76,한국도로공사,터널형,한국도로공사,2007
407,1431,무안광주선 16.94k,전라남도 함평군 학교면 마산리(무안광주선 16.94k),,16.94k,왕복4차선,35,3.0,38.36,126,33.0,23.95,한국도로공사,터널형,한국도로공사,2007
408,1432,순천완주선 49.98k(송내육교),전라북도 남원시 수지면 남창리(순천완주선 49.98k),,49.98k,왕복4차선,35,20.0,35.1,127,20.0,58.8,한국도로공사,육교형,한국도로공사,2010
409,1433,영암순천선 30.36k(토마육교),전라남도 강진군 작천면 토마리(영암순천선 30.36k),,30.36k,왕복4차선,34,40.0,47.5,126,49.0,41.5,한국도로공사,육교형,한국도로공사,2012
410,1434,은봉로 생태통로,인천광역시 남동구 논현동 685,,0,왕복5차선,37,40.0,61.00,126,70.0,55.00,인천광역시,육교형,LH공사,20121231
411,1435,소낭이대고개,인천광역시 남동구 논현동413-24,,0,왕복5,37,41.0,0.00,126,72.0,0.00,인천광역시,육교형,LH공사,20121231
412,1436,무안광주선 21.60k,전라남도 나주시 문평면 송산리(무안광주선 21.60k),,21.60k,왕복4차선,35,4.0,16.91,126,36.0,20.95,한국도로공사,터널형,한국도로공사,2007
413,1437,영암순천선 12.64k,전라남도 영암군 학산면 상월리,,12.64k,왕복4차선,34,42.0,25.1,126,38.0,32.0,한국도로공사,터널형,한국도로공사,2012
414,1439,영암순천선 12.94k,전라남도 영암군 학산면 상월리,,12.94k,왕복4차선,34,42.0,24,126,38.0,42.4,한국도로공사,터널형,한국도로공사,2012
415,1440,영암순천선 66.69k,전라남도 보성군 겸백면 남양리,,10호선,왕복4차선,34,48.0,27.39,127,9.0,28.58,한국도로공사,육교형,한국도로공사,2012
416,1442,은봉로생태통로1,인천광역시 남동구 논현동 685,,0,왕복4차선,37,40.0,61.00,126,72.0,55.00,인천광역시,육교형,LH공사,20121231
417,1443,논현로 생태통로,인천광역시 남동구 논현동 698,,0,왕복4차선,37,40.0,44.00,126,72.0,61.00,인천광역시,육교형,LH공사,20121231
418,1444,앵고개로생태통로,인천광역시 남동구 논현동 787,,0,왕복5차선,37,38.0,99.00,126,72.0,2.00,인천광역시,육교형,LH공사,20121231
